non-terminal    , endLine , funDecl , id      , main    , paramBeg , paramEnd , commaSep , typeInt , typeFloat , typeBool , typeChar , typeString , typeEmpty , typeNull , arrayBeg , arrayEnd , blockBeg , blockEnd , varDecl , opAssign , constNumInt , constNumFloat , constBool , constChar , constString , cmdPrint , cmdRead , opConcat , cmdIf   , cmdElif , cmdElse , cmdWhile , cmdRepeat , cmdIn , cmdReturn , opOr    , opAnd   , opEquals , opRel   , opAditiv , opMult  , opUnaryNeg , EOF
VALUE           ,         ,         , d47     ,         , d47      ,          ,          ,         ,           ,          ,          ,            ,           ,          , d46      ,          ,          ,          ,         ,          , d47         , d47           , d47       , d47       , d47         ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d47        ,
ARRAY           ,         ,         ,         ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          , d48      ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
ELEMENTS        ,         ,         , d49     ,         , d49      ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          , d49         , d49           , d49       , d49       , d49         ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d49        ,
ELEMENTSr       ,         ,         ,         ,         ,          ,          , d50      ,         ,           ,          ,          ,            ,           ,          ,          , epsilon  ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
CONSTANT        ,         ,         ,         ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          , d52         , d53           , d54       , d55       , d56         ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
FUNCCALL        ,         ,         ,         ,         , d57      ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
LISTPARAMSCALL  ,         ,         , d58     ,         ,          , d58      , d58      ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          , d58         , d58           , d58       , d58       , d58         ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
LISTPARAMSCALLr ,         ,         ,         ,         ,          , epsilon  , d59      ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
PARAMITEM       ,         ,         , d62     ,         ,          , epsilon  , epsilon  ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          , d61         , d61           , d61       , d61       , d61         ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
PARAMITEMfat    ,         ,         ,         ,         , d64      , epsilon  , epsilon  ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
PRINT           ,         ,         ,         ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             , d66      ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
READ            ,         ,         ,         ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          , d67     ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
MESSAGE         ,         ,         , d69     ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,             ,               ,           ,           , d68         ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
MESSAGEr        ,         ,         ,         ,         ,          , epsilon  ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         , d70      ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
IFELSE          ,         ,         ,         ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         ,          , d72     ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
IF              ,         ,         ,         ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         ,          , d73     ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
ELIF            ,         ,         , epsilon ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          , epsilon  , epsilon ,          ,             ,               ,           ,           ,             , epsilon  , epsilon ,          , epsilon , d74     , epsilon , epsilon  , epsilon   ,       , epsilon   ,         ,         ,          ,         ,          ,         ,            ,
ELSE            ,         ,         , epsilon ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          , epsilon  , epsilon ,          ,             ,               ,           ,           ,             , epsilon  , epsilon ,          , epsilon ,         , d76     , epsilon  , epsilon   ,       , epsilon   ,         ,         ,          ,         ,          ,         ,            ,
WHILE           ,         ,         ,         ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         , d78      ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
REPEAT          ,         ,         ,         ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          , d79       ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
REPEATfat       ,         ,         ,         ,         ,          , epsilon  , d80      ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
